2645.0, -9953.0, 8946.0
1260.0, -9914.0, 9195.0
1258.0, -9733.0, 9918.0
477.0, -7606.0, 9964.0
8033.0, -6492.0, 9976.0
5487.0, -5288.0, 9986.0
3097.0, -2026.0, 9996.0
8298.0, 482.0, 9997.0
1254.0, 8764.0, 9981.0
1887.0, 9735.0, 9926.0
898.0, 9998.0, 9744.0
6897.0, 9997.0, 5468.0
1533.0, 9988.0, -4794.0
2723.0, 9968.0, -8929.0
1470.0, 9950.0, -9883.0
6604.0, 9934.0, -9891.0
2153.0, 9703.0, -9945.0
2355.0, 8990.0, -9981.0
4312.0, 4999.0, -9992.0
9863.0, -1500.0, -9994.0
8303.0, -2720.0, -9994.0
3258.0, -6549.0, -9982.0
6815.0, -7701.0, -9972.0
3053.0, -8357.0, -9957.0
9185.0, -9160.0, -9905.0
9129.0, -9868.0, -9766.0
3316.0, -9954.0, -8881.0
8004.0, -9998.0, -7770.0
3858.0, -10000.0, 7097.0
