100000
1, 74872, 56933
2, 25396, 52210
3, 35411, -66832
4, 53098, 22513
5, -48453, -90094
6, -65030, 85835
7, -21312, -8558
8, -26962, 13983
9, -80617, 87916
10, 84250, -64339
11, 84501, -45749
12, 9733, 63051
13, -36933, 58787
14, 98873, -85174
15, 5343, -36029
16, -81391, 18242
17, 77412, 99186
18, -74743, -94072
19, -56118, 3464
20, 77696, -74046
21, 98398, -62292
22, 65986, 14737
23, -9928, -30158
24, -67233, 449
25, 78127, -22244
26, -18875, -24527
27, 71630, -83300
28, 87838, 68803
29, -1050, -55779
30, -70671, 36398
31, -5774, 84467
32, -31851, 19376
33, 30421, 50031
34, 79743, 24265
35, -17929, 13793
36, 62953, -91021
37, 59773, -7861
38, 20960, 3159
39, -21827, -34848
40, -65501, -12705
41, 16918, -37553
42, -83254, -80030
43, -75922, -46838
44, -30984, -2674
45, -20406, 57016
46, -83552, -28546
47, -84883, -92037
48, -65552, -47331
49, 56871, 11467
50, -44430, -75556
51, 109, 62130
52, 38085, 13801
53, 68629, 87388
54, -2166, -17792
55, -58515, 47295
56, 64539, -15649
57, -2948, -88567
58, -42309, -24939
59, 76281, 93845
60, -51682, 94431
61, -43748, -7768
62, 76841, 99413
63, 83539, 73932
64, 18981, 55886
65, -69907, -96726
66, 20126, -7296
67, -41703, 421
68, 15489, 76128
69, 75809, 63597
70, -76705, 11400
71, 95993, 13786
72, 72414, 33932
73, -34690, 5850
74, 84837, 25266
75, -54369, 10543
76, 82227, 46270
77, -59741, -75693
78, 37225, -64112
79, 15478, -87760
80, -38350, 49385
81, 43139, 4863
82, 28980, -93964
83, -62246, -6828
84, 20160, 81108
85, -45652, -77690
86, -87131, -97378
87, 13977, -99734
88, 39292, 36257
89, 6349, -25081
90, 42978, -69496
91, 77118, -12726
92, -6414, -6291
93, 28686, -80276
94, -61396, 11108
95, -58992, -26224
96, -36177, -24028
97, 20471, -36567
98, 67862, 42980
99, -28927, -18276
100, -82911, -50398
101, 72960, -97756
102, -1725, 59129
103, 64769, 75383
104, 45064, 83443
105, 65431, 4926
106, -49288, 60876
107, -89232, 85837
108, -15209, 49044
109, 67141, 11652
110, 99139, 53093
111, 58227, -44083
112, -81947, 94022
113, -2351, -36143
114, -72915, 69309
115, 39258, -5783
116, -85930, 92140
117, -32548, 42557
118, 42319, -20079
119, -35805, 69297
120, 23962, -5734
121, -60386, 66523
122, -58691, -19231
123, -39143, -91579
124, 4896, 18004
125, 12139, 66792
126, 26190, -18595
127, 75044, -87832
128, 19352, 75084
129, 80514, -81201
130, -52083, -6800
131, 19686, 46891
132, -31823, -23409
133, -65321, -34628
134, 81567, 12474
135, 74211, 50842
136, -42100, 92622
137, 86925, 58825
138, 48075, 45147
139, 48186, 74272
140, 32815, 57655
141, -39362, 81467
142, 61198, -13294
143, -44951, 64918
144, -35156, -26418
145, -26013, -50386
146, -48967, -40830
147, 3682, 67242
148, 23467, 85254
149, 31156, -81904
150, 10230, 76059
151, 99361, -81076
152, 92599, -3126
153, -59984, 54925
154, 63622, 30170
155, -70553, -34291
156, 55188, 71239
157, 54922, -86324
158, -65354, 57583
159, -44241, -65481
160, 31512, -19525
161, -47109, 12358
162, -71704, 99946
163, 9438, -47594
164, -85766, -20825
165, -12205, -98416
166, 88941, 82695
167, 3045, 46910
168, -85172, -66170
169, 34820, -61037
170, -77259, 38249
171, 55917, 92103
172, -49139, -43601
173, 74250, 40377
174, -11534, 52516
175, 83946, 51037
176, 24507, 39311
177, -34722, 17539
178, 20990, -53711
179, 31274, -24134
180, -115, -25691
181, -28514, 86867
182, -7117, -39663
183, -64013, 47765
184, -39015, -61683
185, 97653, 10397
186, -12999, 73549
187, -98743, 77517
188, -81222, 712
189, 34836, -25249
190, -2619, -25125
191, -60719, -53803
192, -84643, 46970
193, 34495, -8999
194, -72900, -29362
195, 75654, 52021
196, 42797, -37882
197, -23740, 2626
198, -93681, 37241
199, 88543, 63917
200, 55611, 14309
201, 56666, 67503
202, -89175, -85746
203, -64823, -47732
204, -66876, -70823
205, 60803, -67676
206, -47441, -29008
207, 52659, 62934
208, 77461, 47871
209, 20324, 41499
210, -22848, -1930
211, -19931, 13299
212, -4171, 9382
213, -59238, -54489
214, 54520, -90638
215, 14545, 26151
216, -75231, -67171
217, 11741, 68899
218, 6870, -89435
219, -94188, -91203
220, -38849, -20356
